"text","text_en","cmp_code","eu_code"
"Policies",NA,"H",NA
"For us, policies are all about principles that guide our actions. These principles are set out to inform Australians of our legislative views. Items shown under 'Examples of what needs to be done' are indicative only and parliamentary members and candidates are encouraged to propose and debate the most workable solutions and options possible.",NA,NA,NA
"Aboriginal and Torres Strait Islanders",NA,"H",NA
"We recognise Aboriginal and Torres Strait Islander peoples - the first Australians - as the traditional owners of this continent and acknowledge and respect their ongoing relationship with the land.",NA,"607.3",NA
"Examples of what needs to be done:  Aboriginal and Torres Strait Islander peoples and organisations must be consulted and engaged with the process of developing Indigenous Affairs policy.",NA,"607.3",NA
"Constitutional recognition to reflect the unique role Aboriginal and Torres Strait Islanders have in Australia’s past, present and future.",NA,"607.3",NA
"Provide ongoing funding for “Closing the Gap” between Aboriginal and Torres Strait Islander people and non-indigenous Australians.",NA,"607.3",NA
"In consultation with individual communities, develop micro policies and programs to better meet the diverse needs of Aboriginal and Torres Strait Islander peoples.",NA,"607.3",NA
"Double both the number of Indigenous Rangers and funding for Indigenous Protected Areas, with longer term contract arrangements for both programs.",NA,"607.3",NA
"Ageing Population",NA,"H",NA
"Australia is a prosperous country built on the contribution of older Australians.",NA,"601.1",NA
"Our ageing population deserves to be treated with respect and dignity",NA,"706",NA
"and assisted where needed by government and the wider community.",NA,"504",NA
"Examples of what needs to be done:",NA,"H",NA
"Workforce participation",NA,"H",NA
"We do not support an increase in the pension age,",NA,"504",NA
"but we do believe older Australians should be both encouraged and supported to be involved in the paid or community service workforce.",NA,"606.1",NA
"For those who receive a pension, income tests should be relaxed further so that they can supplement their income without penalty.",NA,"504",NA
"Community service volunteers should be automatically covered by a government funded insurance scheme.",NA,"504",NA
"Cost-of Living",NA,"H",NA
"Utility cost increases should be pegged no greater than the CPI.",NA,"504",NA
"Any increases above the CPI should be rebated to those on a government pension, or self-funded retirees who have reached the eligible pension age.",NA,"504",NA
"Housing/Retirement/Aged Care",NA,"H",NA
"Government policy should encourage and deliver where possible affordable, comfortable and well-maintained retirement and aged care accommodation.",NA,"504",NA
"Developers and providers of retirement accommodation must meet all existing government requirements,",NA,"504",NA
"as well as be required to provide transition accommodation options for residents who may require low or high care facilities in the future.",NA,"706",NA
