"text","text_en","cmp_code","eu_code"
"Agriculture Policies",NA,"H",NA
"Multi Peril Insurance",NA,"H",NA
"Multi-peril insurance is important for farmers to be able to safeguard their business.",NA,"703.1",NA
"An example of multi-peril insurance is an insurance bundle that would cover loss of crop yields from drought and flood, and other natural causes.",NA,"703.1",NA
"The problem is, it is so expensive that not many people in the agricultural industries have it.",NA,"703.1",NA
"We can bring premium costs down by gathering more data on the risks and impacts of production loss on farm businesses.",NA,"703.1",NA
"KAP wants $2million committed to research to make multi-peril insurance more affordable for our primary producers.",NA,"703.1",NA
"Fair Milk Logo Scheme",NA,"H",NA
"KAP continues to fight for Australia’s dairy farmers.",NA,"703.1",NA
"The Queensland dairy industry is in dangerous decline.",NA,"703.1",NA
"Queensland dairy farms have dropped in number from 1100 to 430 in just 15 years.",NA,"703.1",NA
"In 2015, the dairy industry contributed approximately $4 billion to the Australian economy, and employed 50,000 people.",NA,"703.1",NA
"We are at risk of losing this significant industry because of the supermarket duopoly",NA,"403",NA
"and its treatment of farmers.",NA,"703.1",NA
"KAP wants to introduce the Fair Milk Logo Scheme.",NA,"703.1",NA
"It would be a voluntary scheme, where milk processors who bottle milk could put a ‘Fair Milk’ logo on bottles where they had paid farmers a fair price for the milk.",NA,"403",NA
"Many people are happy to pay a little more for their milk if they know that the milk they are buying has come from a farmer who has been paid a fair price.",NA,"703.1",NA
"Currently, there’s no way for people to know which milk this is.",NA,"403",NA
"The Fair Milk Logo Scheme would fix this problem.",NA,"403",NA
"KAP’s Member for Hill, Shane Knuth, has introduced this scheme into the Parliament only for it to be voted down by the major parties.",NA,"305.1",NA
"Shane and KAP will continue to fight for the Fair Milk Logo Scheme.",NA,"703.1",NA
"Vegetation Management",NA,"H",NA
"KAP Is Standing Up For Farmers Against Draconian Vegetation Management Laws.",NA,"703.1",NA
"The primary foundation of a free democracy is property rights, and private ownership of property is the fundamental part of those rights.",NA,"401",NA
"The ultimate measure of control finds its origin in ownership, whether it be “Real” tangible property or the associated rights to it’s effective use and benefit, those rights are identifiable elements of property, bought and paid for by the respective owner.",NA,"401",NA
"Those rights are identifiable, those rights are measurable, those rights are transferable and therefore afford a value to the owner or desired owner as the case may be.",NA,"401",NA
"It is the core principle of “good governance” to ensure that private property owners are compensated whenever government enact laws and regulations for the benefit of the public that in any way diminish the value of their property.",NA,"401",NA
"Implemented by both major political parties, the current regime of vegetation management laws across Australia have caused and continue to cause enormous personal, social and economic hardship to both individuals and entire communities as a direct result of government’s failure to adhere to the principles of justice, forcing one minor sector of society to carry the entire burden of purported environmental conservation for the supported benefit of all.",NA,"703.1",NA
"It is the core principle of KAP to respect in all cases whatsoever, the fundamental principles of property ownership.",NA,"401",NA
"Subsequently, when government intrusion of private property is unavoidable, it must be, and only be, on the basis of just terms, that is, fair compensation.",NA,"401",NA
"Such principles adequately accommodate intrusions such as laws and regulations impacting private property by compensating owners for ensuing loss.",NA,"401",NA
