"text","text_en","cmp_code","eu_code"
"Peter Costello, Chris McDiven, my parliamentary colleagues and my fellow Australians.",NA,"000",NA
"This campaign, more than any other that I have been involved in, is very much about the future of the Australia we know and the Australia we love so much.",NA,"601",NA
"The one single, irrefutable question that must be asked and answered by the Australian people on the 10th of November is who is better able to lead Australia over the next three years into difficult, challenging but times and circumstances which ought not to be daunting.",NA,"601",NA
"And in making that judgement they must do three things; they must examine what we have done and not done over the last five and a half years and they should examine what the Labor Party has done and not done over the last five and a half years.",NA,"202",NA
"They must also ask themselves who is better able to lead this country in the dangerously different strategic and economic circumstances in which the country now finds itself.",NA,"202",NA
"And finally they must make a judgement about the plans and the hopes and the aspirations that we have and our opponents have for the future of Australia.",NA,"202",NA
"I will turn in a moment to some of the things that will influence the judgement about us over the last five and a half years.",NA,"202",NA
"But first I want to talk a little about the many plans we have about the future of this country.",NA,"202",NA
"And I intend to announce in the course of that presentation a number of new initiatives which deal with essential areas of Australian life.",NA,"601",NA
"We all know that Australia is the best country in the world in which to live.",NA,"601",NA
"Our aim over the next three years is to make it an even better country in which to live.",NA,"601",NA
"We know that in the process of doing that we will face some unexpected difficulties, that’s the challenge.",NA,"606",NA
"But the good news is that because of the great work that we have done over the last five and a half years this country is better placed than most to deal with a stagnating world economy.",NA,"305",NA
"This nation is stronger and better prepared to withstand the impact of that.",NA,"601",NA
"And over the last year we have announced plans that will come into effect over the next three years that will add immeasurably to the strength and the resilience of Australian society and the Australian economy.",NA,"601",NA
"In the important area of defense alone, our defense white paper has made the greatest ever additional provision for the future defense needs of Australia of any government in more than a quarter of a century.",NA,"104",NA
"Over the next ten years we will invest an additional $32 billion in the defense of Australia.",NA,"104",NA
"And how proud I am to say to you that when we came into government in March of 1996 and we found not withstanding what Mr.",NA,"104",NA
"Beazley had told us during the election campaign that our budget was $10.",NA,"104",NA
"5 billion in deficit, that we’d accumulated as a nation $96 billion of federal government debt, the one restriction I put on Peter Costello and John Fahey in getting the budget in shape was you will not cut any money out of defense.",NA,"104",NA
"And not only didn’t we cut any money out of defense we in fact increased defense expenditure, and just as well because in that five and a half year period we’ve had the demands of East Timor, of Bougainville, and now the commitment to the war against terrorism which is as much our war and our fight and our struggle as it is for the people of the United States.",NA,"104",NA
