"text","text_en","cmp_code","eu_code"
"John Anderson  Leader of the National Party - Deputy Prime Minister - Minister for Transport and Regional Services -  Federal Member for Gwydir.",NA,NA,NA
"Leadership  and Certainty  for Regional  Australia.",NA,NA,NA
"Campaign Launch.",NA,NA,NA
"Tweed Heads  22nd October 2001.",NA,NA,NA
"The Nationals are the party of regional Australia.",NA,"706",NA
"We are the party that provides leadership and certainty  to the seven million Australians who live outside our capital cities.",NA,"706",NA
"We are the party that bridges the  divide between urban Australia and the regions where our national identity was forged.",NA,"606",NA
"Eighty years ago, my great predecessor Earle Page founded the Federal National Party with a vision for Australia.",NA,"601",NA
"He had  a national vision of a safe and secure country",NA,"601",NA
"where democracy could flourish.",NA,"202",NA
"An economic vision founded on individual freedom.",NA,"201",NA
"And a social vision founded on enduring values.",NA,"603",NA
"Australia has changed dramatically since 1923, but the National Party's vision for our country is more  relevant and important than ever.",NA,"305",NA
"Recent events have shown that the first priority of the government must still be national leadership and  security.",NA,"601",NA
"We know that the only way to create economic prosperity is to rely on individual enterprise",NA,"401",NA
"and  we know that our future as a nation depends on having strong families and communities.",NA,"606",NA
"Australia cannot afford the risk of electing a Labor Party government that would flip-flop from one position  to another",NA,"305",NA
"the only constant direction being further into red ink, given Mr. Beazley's love of debt.",NA,"414",NA
"Australia cannot afford the risk of electing independents or fringe groups with no economic management  credentials and no-one but themselves to please.",NA,"606",NA
"You know where the National Party stands.",NA,"305",NA
"You know we stand beside the United States as an ally in these times of trouble.",NA,"104",NA
"But we are not  American.",NA,"601",NA
"You know we stand beside the Liberal Party as an ally in Government.",NA,"606",NA
"But we are not the Liberal Party.",NA,"601",NA
"You know we are the National Party and we stand for regional Australia - for the people and communities  and businesses outside our capital cities.",NA,"706",NA
"The National Party in government has worked with our coalition partners to take the hard decisions that  these times have demanded.",NA,"305",NA
"We are protecting our borders against the people smugglers.",NA,"601",NA
"We stood up  for the East Timorese people",NA,"103",NA
"and our leadership of the peacekeeping operation won Australia honor and  renown throughout the world.",NA,"601",NA
"In these dark times, we are standing with our historic allies",NA,"104",NA
"and have  committed Australia's military forces to the international coalition against terrorism.",NA,"104",NA
"The Coalition has taken the hard decisions that were needed to protect the Australian economy from the  downturn in Asia.",NA,"414",NA
"We eliminated Labor's budget deficit and reduced the Federal Government's debt.",NA,"414",NA
"We  can now spend more of our tax dollars on roads and schools, and less on interest repayments.",NA,"414",NA
"We are exporting more than we are importing, and overwhelmingly our farmers and miners are driving  Australia's economic performance.",NA,"414",NA
"Interest rates are now at their lowest level since Jack McEwen was the leader of the National Party.",NA,"410",NA
"Our  industrial reforms have created more flexible workplaces.",NA,"305",NA
"Real wages have increased,",NA,"401",NA
"there are 830,000  new jobs,",NA,"701",NA
"and our waterfront is internationally competitive for the first time.",NA,"410",NA
"The National Party and our coalition partners have delivered on our commitment to regional Australia.",NA,"410",NA
"Our country needs prosperous regions as much as it needs prosperous cities.",NA,"706",NA
"The sunlit plains that  Banjo Paterson wrote about are part of us all and have shaped our national character.",NA,"606",NA
"The Nationals in Government have invested $28.5 billion over the past five years in over 300 regional  programs.",NA,"601",NA
"I have already announced our Sustainable Regions program, which is a commitment of $100  million over four years to provide a toolbox to help regional communities achieve growth and  development.",NA,"410",NA
"Kim Beazley and the Labor Party have announced they would abolish our sustainable regions  package.",NA,"410",NA
"Have they told the people of the Tweed, Gippsland, the Kimberleys, the Atherton Tableland,  and the other regions identified for the program?",NA,"410",NA
"There is life again in the main streets of towns such as Ashford in New South Wales and Aramac in  Queensland.",NA,"410",NA
"In all, five hundred towns are taking part in the Rural Transaction Center program, which is  replacing the services that were lost during the Labor years.",NA,"411",NA
"Kim Beazley and the Labor Party has announced that it would scrap this program.",NA,"411",NA
"Many communities have used our Regional Solutions Program, which is helping towns to create new  business opportunities",NA,"410",NA
"and improve their access to services.",NA,"504",NA
"For example, the Urana Shire Council in  Farrer has received $120,000 to construct a new doctor's residence and surgery.",NA,"504",NA
"Kim Beazley and the Labor Party have announced they would abandon this program, as well.",NA,"402",NA
"The Coalition has already committed $6 million to place Small Business Assistance Officers in rural and  regional areas to provide small business operators with face to face assistance.",NA,"402",NA
"The Coalition will spend  $24 million to extend the initiative,",NA,"410",NA
"which will now include the development of greater trade and export  opportunities.",NA,"504",NA
"We are comprehensively addressing the shortage of doctors in rural areas",NA,"305",NA
"another legacy of 13 years of  Labor Government",NA,"506",NA
"and provided more opportunities for students to pursue a career in rural medicine.",NA,"506",NA
"We are opening nine new clinical schools across regional Australia, because students who undertake  their training in rural areas are likely to practice there.",NA,"504",NA
"The National Party is particularly concerned about the care of older Australians, and it is a very important  issue here in the Tweed, with its high proportion of retired people.",NA,"504",NA
"The Coalition has allocated over  41,000 aged care places in areas of need since 1996.",NA,"706",NA
"Almost 75 percent of the capital funding we are  providing for aged care homes and services is going to regional areas.",NA,"504",NA
"We have already announced that  we are spending more than $100 million over four years to improve rural nursing services",NA,"504",NA
"and the  Nationals will ensure that aged care nursing receives its share of government funding.",NA,"504",NA
"Experience has shown that smaller aged care homes in regional Australia can find it hard to generate  the required capital income because of the limited capacity of residents to pay accommodation bonds  and charges.",NA,"504",NA
"New Capital Funding.",NA,NA,NA
"I am therefore announcing today that the Coalition will provide $100 million in additional  capital funding over four years for rural, regional and some urban fringe aged care  homes.",NA,"504",NA
"Our funding will ensure that smaller regional communities can build, upgrade, and maintain aged care  facilities so their older residents can stay in the towns where they have spent their lives.",NA,"504",NA
"Regional Australia depends heavily on road transport.",NA,"402",NA
"The Coalition has reduced land transport costs  through the introduction of the diesel fuel grants scheme",NA,"402",NA
"and the abolition of indexation.",NA,"402",NA
"We have moved a long way towards upgrading road and rail infrastructure, including local roads through  the $1.2 billion Roads to Recovery program.",NA,"411",NA
"The Labor Party has described Roads to Recovery as a  'boondoggle'  one of Kim Beazley's prolix words that means a trivial or unnecessary expenditure.",NA,"305",NA
"I'm sure he hasn't been on a local rural road, or understands that local roads are vital to our social as  well as our economic interests, in a way that no city-centric political party could comprehend.",NA,"305",NA
"It's about  getting the kids to school after 30 points of rain, or to the doctor, or to the neighbors to play.",NA,"411",NA
