"text","text_en","cmp_code","eu_code"
"FIVE KEY ISSUES",NA,NA,NA
"-1- LOBBY GROUPS",NA,NA,NA
"The Palmer United Party believes that lobbyists should be excluded from holding official positions in the Palmer United Party.",NA,"304",NA
"Official office bearers of the Palmer United Party need to represent the membership and they can’t do that if they are receiving large amounts of money from companies or business groups.",NA,"304",NA
"A member who is a lobbyist needs to decide if his business interests are more important than carrying out obligations of an office bearer.",NA,"304",NA
"Moreover lobbyist firms often employ former Ministers from both political parties and Big Business can get policy changes by paying money to such firms to represent their views.",NA,"304",NA
"This represents a serious conflict of interest and undermines the value of individuals voting rights and the Democracy Australians have fought for.",NA,"304",NA
"It negates Australian right to vote.",NA,"304",NA
"-2- 25% WEALTH FOR REGIONS",NA,NA,NA
"The Palmer United Party believes 25% of the wealth generated from regions in Australia must be returned to that region so that the wealth can be reinvested in the region that generated such wealth on behalf of the people of Australia.",NA,"301",NA
"-3- CARBON TAX – ELECTRICITY PRICE",NA,NA,NA
"The Palmer United Party will scrap the Carbon Tax, not from when we are elected but from when the tax was introduced.",NA,"403",NA
"Electricity prices are too high.",NA,"403",NA
"Australian families are being destroyed.",NA,"403",NA
"Australians will get refunds under the Palmer United Government.",NA,"403",NA
"The Palmer United Party will set up a national commission to investigate the Carbon issue and seek submissions from all Australians so that the government is fully informed.",NA,"403",NA
"-4- USING AUSTRALIAN WEALTH FOR AUSTRALIA",NA,NA,NA
"Japan has become the world’s third largest economy by processing Australian resources.",NA,"406",NA
"Wages in Japan are more expensive.",NA,"406",NA
"The cost of energy is higher.",NA,"406",NA
"Japan suffers from the tyranny of distance yet Australia sells its mineral ore at $40 - $200 a tonne and Japan sells final products at up to $20,000 a ton or more.",NA,"406",NA
"To create jobs, more government revenue and a stronger balance of payments the Australian government needs to encourage the use of the mineral resource wealth of Western Australia and Queensland to support downstream manufacturing in states that don’t have those resources, such as New South Wales, South Australia, Tasmania and Victoria.",NA,"406",NA
"We can create jobs increase our exports and provide greater revenue and a rising rather than declining standard of living for our country.",NA,"406",NA
"Higher export revenue means better education and health services for our people.",NA,"406",NA
"5 – COMMON SENSE POLICY OF ARRIVALS TO AUSTRALIA TO SAVE BILLIONS OF DOLLARS",NA,NA,NA
"We spend Billions of dollars each year trying to deal with illegal entry into Australia.",NA,"705",NA
"Our Navy is deployed at great cost and does not now do what it should do and defend Australia.",NA,"705",NA
"People are attracted to this country by many financial and other benefits that the government offers.",NA,"705",NA
"Families of new arrivals are separated and kept in camps at the taxpayers’ expense and many people lose their lives while people smugglers make a fortune.",NA,"705",NA
"While all this is going on the Australian People continue to suffer.",NA,"705",NA
"We need to change things.",NA,"705",NA
"It is the Australian government that creates the market for people smugglers to prosper.",NA,"705",NA
"If a person seeking entry into Australia was allowed to board a plane for $800 to fly to one of our airports such as Sydney or Brisbane they wouldn’t need to pay the People Smugglers up to $20,000 for illegal entry to Australia.",NA,"705",NA
"Any person would require their valid passport to board the flight, so when arriving at the immigration hall we would know who they are and where they came from.",NA,"705",NA
"At the airport we could have the facilities to deal with them.",NA,"705",NA
"Each person or family could be given a fair hearing at the airport facilities when they arrive to determine if they had a lawful right of entry into Australia.",NA,"705",NA
"If they didn’t they could be returned to where they came from on the next flight.",NA,"705",NA
"This would abolish the detention camps, restore our navy to its traditional role, save the lives of children and families, keep families together and recognise the legitimate rights of those that have a lawful reason for entering Australia.",NA,"705",NA
"This policy would also reduce the risk of breeches in our quarantine and protect our agricultural industries.",NA,"705",NA
"Only the Palmer United Party can stop the boats by taking away the financial incentive that started them in the first place.",NA,"705",NA
"The billions of dollars saved by this policy can be spent for a change on the people who deserve it the people of Australia.",NA,"705",NA
"WE BELIEVE",NA,NA,NA
"In Australia, its people and its future.",NA,"601",NA
"In the innate worth of the individual, in the right to be independent, to own property and to achieve, and in the need to encourage initiative and personal responsibility.",NA,"201",NA
"In the basic freedoms of thought, worship, speech, association and choice.",NA,"201",NA
"In equality of opportunity, with all Australians having the opportunity to reach their full potential in a tolerant national community.",NA,"503",NA
"In a just and humane society, where those who cannot provide for themselves can live in dignity.",NA,"503",NA
"In the family as the primary institution for fostering the values on which a cohesive society is built.",NA,"603",NA
"In the creation of wealth and in competitive enterprise, consumer choice and reward for effort as the proven means of providing prosperity for all Australians.",NA,"401",NA
"In the principle of mutual obligation, whereby those in receipt of government benefits make some form of contribution to the community in return, where this is appropriate.",NA,"606",NA
"In the importance of voluntary effort and voluntary organisations.",NA,"606",NA
"In parliamentary democracy as the best system for the expression and fulfilment of the aspirations of a free people.",NA,"202",NA
"In the separation and distribution of powers as the best protection for the democratic process.",NA,"203",NA
"In a federal system of government and the decentralisation of power, with local decisions being made at the local level.",NA,"301",NA
"In a constitutional head of state as a symbol of unity and continuity.",NA,"601",NA
