"text","text_en","cmp_code","eu_code"
"43 RD REPUBLICAN NATIONAL CONVENTION",NA,NA,NA
"THE 2024 REPUBLICAN PLATFORM",NA,NA,NA
"MAKE AMERICA GREAT AGAIN",NA,NA,NA
"Dedication:",NA,NA,NA
"To the Forgotten Men and Women of America",NA,NA,NA
"PREAMBLE",NA,"H",NA
"AMERICA FIRST: A RETURN TO COMMON SENSE",NA,"H",NA
"Our Nation’s History is filled with the stories of brave men and women who gave everything they had to build America into the Greatest Nation in the History of the World.",NA,"601.1",NA
"Generations of American Patriots have summoned the American Spirit of Strength, Determination, and Love of Country to overcome seemingly insurmountable challenges.",NA,"601.1",NA
"The American People have proven time and again that we can overcome any obstacle and any force pitted against us.",NA,"601.1",NA
"In the early days of our Republic, the Founding Generation defeated what was then the most powerful Empire the World had ever seen.",NA,"601.1",NA
"In the 20th Century, America vanquished Nazism and Fascism, and then triumphed over Soviet Communism after forty-four years of the Cold War.",NA,"601.1",NA
"But now we are a Nation in SERIOUS DECLINE.",NA,"601.1",NA
"Our future, our identity, and our very way of life are under threat like never before.",NA,"601.1",NA
"Today we must once again call upon the same American Spirit that led us to prevail through every challenge of the past if we are going to lead our Nation to a brighter future.",NA,"601.1",NA
"For decades, our politicians sold our jobs and livelihoods to the highest bidders overseas",NA,"701",NA
"with unfair Trade Deals",NA,"406",NA
"and a blind faith in the siren song of globalism.",NA,"109",NA
"They insulated themselves from criticism and the consequences of their own bad actions,",NA,"305.1",NA
"allowing our Borders to be overrun,",NA,"601.2",NA
"our cities to be overtaken by crime,",NA,"605.1",NA
"our System of Justice to be weaponized,",NA,"202.1",NA
"and our young people to develop a sense of hopelessness and despair.",NA,"706",NA
"They rejected our History and our Values.",NA,"601.1",NA
"Quite simply, they did everything in their power to destroy our Country.",NA,"305.1",NA
"In 2016, President Donald J. Trump was elected as an unapologetic Champion of the American People.",NA,"305.2",NA
"He reignited the American Spirit and called on us to renew our National Pride.",NA,"601.1",NA
"His Policies spurred Historic Economic Growth,",NA,"410",NA
"Job Creation,",NA,"701",NA
"and a Resurgence of American Manufacturing.",NA,"410",NA
"President Trump and the Republican Party led America out of the pessimism induced by decades of failed leadership, showing us that the American People want Greatness for our Country again.",NA,"305.2",NA
"Yet after nearly four years of the Biden administration, America is now rocked by Raging Inflation, Open Borders, Rampant Crime, Attacks on our Children, and Global Conflict, Chaos, and Instability.",NA,"305.1",NA
"Like the Heroes who built and defended this Nation before us, we will never give up.",NA,"601.1",NA
"We will restore our Nation of, by, and for the People.",NA,"601.1",NA
"We will Make America Great Again.",NA,"601.1",NA
"We will be a Nation based on Truth, Justice, and Common Sense.",NA,"601.1",NA
"AMERICA FIRST: A RETURN TO COMMON SENSE",NA,"H",NA
"Common Sense tells us clearly, in President Trump’s words, that “If we don’t have a Border, we don’t have a Country.”",NA,"601.2",NA
